#Release 9.2.04i - par J.40
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Thu Dec 11 15:10:18 2008

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_LEVEL_map.ncd
#OUTPUT FILE:      C:/GateFlow/7142_sig/4953_s142/xc4vsx55/mppr_result.dir/H_H_4_pad.csv
#PART TYPE:        xc4vsx55
#SPEED GRADE:      -10
#PACKAGE:          ff1148
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AG12,,,VCCAUX,,,,,,,,2.5,,,,,
AG13,,LOWCAPIOB,IO_L6N_D4_LC_2,UNUSED,,2,,,,,,,,,,
AG14,,,VCCO_2,,,2,,,,,2.50,,,,,
AG15,LREADY_N,IOB,IO_L22P_LC_2,TRISTATE,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AG16,LDREQ_N<5>,IOB,IO_L2P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG17,LADS_N,IOB,IO_L5N_GC_LC_4,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,,YES,NONE,
AG18,,LOWCAPIOB,IO_L5P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AG19,,,GND,,,,,,,,,,,,,
AG20,LDREQ_N<6>,IOB,IO_L21P_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AG21,,LOWCAPIOB,IO_L5P_D7_LC_2,UNUSED,,2,,,,,,,,,,
AG22,LAD<18>,IOB,IO_L3P_D11_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AG23,LVDS3_DAT_P<13>,IOBM,IO_L21P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AG24,,,VCCO_7,,,7,,,,,2.50,,,,,
AG25,LVDS2_DAT_P<2>,IOBM,IO_L22P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AG26,LVDS2_DAT_N<2>,IOBS,IO_L22N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AG27,LVDS4_RC_IN_P,IOB,IO_L8P_CC_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AG28,LVDS4_RC_IN_N,IOB,IO_L8N_CC_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AG29,,,GND,,,,,,,,,,,,,
AG30,LVDS1_DAT_P<6>,IOBM,IO_L21P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AG31,LVDS1_DAT_N<6>,IOBS,IO_L21N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AG32,LVDS1_DAT_P<11>,IOBM,IO_L13P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AG33,LVDS1_DAT_N<11>,IOBS,IO_L13N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AG34,,,VCCO_11,,,11,,,,,2.50,,,,,
AH1,,,VCCO_12,,,12,,,,,1.80,,,,,
AH2,,IOBS,IO_L15N_12,UNUSED,,12,,,,,,,,,,
AH3,,IOBM,IO_L15P_12,UNUSED,,12,,,,,,,,,,
AH4,,IOBS,IO_L28N_VREF_12,UNUSED/VREF,,12,,,,,0.90,,,,,
AH5,DDR1_CASB,IOB,IO_L28P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH6,,,GND,,,,,,,,,,,,,
AH7,,IOBS,IO_L12N_VREF_8,UNUSED/VREF,,8,,,,,0.90,,,,,
AH8,DDR2_ODT,IOB,IO_L12P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH9,,,VCCAUX,,,,,,,,2.5,,,,,
AH10,DDR2_ADDRESS<7>,IOB,IO_L30P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH11,,,VCCO_8,,,8,,,,,1.80,,,,,
AH12,DDR2_ADDRESS<8>,IOB,IO_L17P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH13,,,VCCINT,,,,,,,,1.2,,,,,
AH14,LSPARE<4>,IOB,IO_L22N_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH15,,,VCCINT,,,,,,,,1.2,,,,,
AH16,,,GND,,,,,,,,,,,,,
AH17,LAD<11>,IOB,IO_L8N_GC_CC_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AH18,LAD<62>,IOB,IO_L3N_GC_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AH19,LCLKI,IOB,IO_L3P_GC_LC_4,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
AH20,LSPARE<3>,IOB,IO_L21N_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH21,,,VCCO_2,,,2,,,,,2.50,,,,,
AH22,LAD<60>,IOB,IO_L3N_D10_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AH23,LVDS2_DAT_P<11>,IOBM,IO_L23P_VRN_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH24,LVDS2_DAT_N<11>,IOBS,IO_L23N_VRP_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH25,LVDS2_DAT_N<12>,IOBS,IO_L28N_VREF_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH26,,,GND,,,,,,,,,,,,,
AH27,LVDS3_DAT_N<1>,IOBS,IO_L16N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH28,LVDS3_DAT_P<12>,IOBM,IO_L6P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH29,LVDS3_DAT_N<12>,IOBS,IO_L6N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH30,LVDS2_DAT_N<8>,IOBS,IO_L32N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH31,,,VCCO_11,,,11,,,,,2.50,,,,,
AH32,LVDS1_DAT_P<12>,IOBM,IO_L22P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AH33,LVDS1_DAT_N<12>,IOBS,IO_L22N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AH34,LVDS1_RC_OUT_N,IOBS,IO_L18N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AJ1,DDR1_DQ<20>,IOB,IO_L22N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ2,DDR1_DQ<21>,IOB,IO_L22P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ3,,,GND,,,,,,,,,,,,,
AJ4,DDR2_DQ<22>,IOB,IO_L2N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ5,DDR2_ADDRESS<0>,IOB,IO_L6N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ6,DDR2_ADDRESS<1>,IOB,IO_L6P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ7,DDR2_DQ<17>,IOB,IO_L7N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ8,,,VCCO_8,,,8,,,,,1.80,,,,,
AJ9,DDR2_DQ<6>,IOB,IO_L15N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ10,DDR2_DQ<0>,IOB,IO_L15P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AJ11,,IOBM,IO_L23P_VRN_8,UNUSED,,8,,,TERMINATION,,,,,,,
AJ12,DDR2_ADDRESS<4>,IOB,IO_L21P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ13,,,GND,,,,,,,,,,,,,
AJ14,LDREQ_N<10>,IOB,IO_L20N_VREF_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AJ15,LDREQ_N<11>,IOB,IO_L20P_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AJ16,,,VCCAUX,,,,,,,,2.5,,,,,
AJ17,LAD<34>,IOB,IO_L8P_GC_CC_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AJ18,,,VCCO_4,,,4,,,,,2.50,,,,,
AJ19,LAD<35>,IOB,IO_L7P_GC_VRN_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AJ20,LAD<2>,IOB,IO_L19P_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AJ21,LBE0_N,IOB,IO_L1N_D14_CC_LC_2,INPUT,LVCMOS25,2,,,,IFD,,LOCATED,,YES,NONE,
AJ22,LDREQ_N<7>,IOB,IO_L1P_D15_CC_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ23,,,GND,,,,,,,,,,,,,
AJ24,LVDS2_DAT_N<13>,IOBS,IO_L19N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AJ25,LVDS2_DAT_P<12>,IOBM,IO_L28P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ26,,,VCCAUX,,,,,,,,2.5,,,,,
AJ27,LVDS3_DAT_P<1>,IOBM,IO_L16P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ28,,,VCCO_7,,,7,,,,,2.50,,,,,
AJ29,LVDS3_DAT_N<14>,IOBS,IO_L1N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AJ30,LVDS2_DAT_P<8>,IOBM,IO_L32P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ31,LVDS1_DAT_P<7>,IOBM,IO_L28P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AJ32,LVDS1_DAT_N<7>,IOBS,IO_L28N_VREF_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AJ33,,,GND,,,,,,,,,,,,,
AJ34,LVDS1_RC_OUT_P,IOBM,IO_L18P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK1,DDR2_CSB,IOB,IO_L21N_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK2,DDR2_FB1OUT,IOB,IO_L26N_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AK3,DDR2_FB1IN,IOB,IO_L26P_12,INPUT,SSTL18_II_DCI,12,,,,IFD,,LOCATED,,YES,SPLIT,
AK4,DDR2_DQ<23>,IOB,IO_L2P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AK5,,,VCCO_8,,,8,,,,,1.80,,,,,
AK6,DDR2_DQ<5>,IOB,IO_L10N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AK7,DDR2_DQ<16>,IOB,IO_L7P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AK8,DDR2_DQ<12>,IOB,IO_L11N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AK9,,IOBS,IO_L28N_VREF_8,UNUSED/VREF,,8,,,,,0.90,,,,,
AK10,,,GND,,,,,,,,,,,,,
AK11,,IOBS,IO_L23N_VRP_8,UNUSED,,8,,,TERMINATION,,,,,,,
AK12,DDR2_ADDRESS<5>,IOB,IO_L21N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK13,DDR2_DQS<1>,IOB,IO_L9P_CC_LC_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AK14,LRST_N,IOB,IO_L4N_D8_VREF_LC_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
AK15,,,VCCO_2,,,2,,,,,2.50,,,,,
AK16,LAD<40>,IOB,IO_L24N_CC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AK17,LAD<37>,IOB,IO_L4N_GC_VREF_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AK18,LAD<15>,IOB,IO_L4P_GC_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AK19,LAD<41>,IOB,IO_L7N_GC_VRP_LC_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AK20,,,GND,,,,,,,,,,,,,
AK21,LVDS2_GCLK_P,IOBM,IO_L5P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK22,LVDS3_DAT_P<0>,IOBM,IO_L13P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK23,LVDS3_DAT_N<0>,IOBS,IO_L13N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK24,LVDS2_DAT_P<13>,IOBM,IO_L19P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK25,,,VCCO_7,,,7,,,,,2.50,,,,,
AK26,LVDS2_DAT_N<14>,IOBS,IO_L26N_SM6_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK27,LVDS2_RC_OUT_P,IOBM,IO_L20P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK28,LVDS2_RC_OUT_N,IOBS,IO_L20N_VREF_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AK29,LVDS3_DAT_P<14>,IOBM,IO_L1P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK30,,,GND,,,,,,,,,,,,,
AK31,LVDS4_DAT_P<3>,IOB,IO_L25P_CC_LC_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,,YES,NONE,
AK32,LVDS4_DAT_N<3>,IOB,IO_L25N_CC_LC_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,,NO,NONE,
AK33,LVDS2_DAT_P<5>,IOBM,IO_L26P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AK34,LVDS2_DAT_N<5>,IOBS,IO_L26N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AL1,DDR2_BA<1>,IOB,IO_L21P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AL2,,,VCCO_12,,,12,,,,,1.80,,,,,
AL3,DDR1_FB1IN,IOB,IO_L32N_12,INPUT,SSTL18_II_DCI,12,,,,IFD,,LOCATED,,YES,SPLIT,
AL4,DDR2_DQ<18>,IOB,IO_L1N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AL5,DDR2_DQ<19>,IOB,IO_L1P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AL6,DDR2_DQ<4>,IOB,IO_L10P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AL7,,,GND,,,,,,,,,,,,,
AL8,DDR2_DQ<13>,IOB,IO_L11P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AL9,,IOBM,IO_L28P_8,UNUSED,,8,,,,,,,,,,
AL10,DDR2_DQSB<2>,IOB,IO_L25N_CC_LC_8,TRISTATE,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AL11,DDR2_DQS<2>,IOB,IO_L25P_CC_LC_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AL12,,,VCCO_8,,,8,,,,,1.80,,,,,
AL13,DDR2_DQSB<1>,IOB,IO_L9N_CC_LC_8,TRISTATE,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AL14,LAD<8>,IOB,IO_L4P_D9_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AL15,LIRQ_N<0>,IOB,IO_L18N_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AL16,LAD<24>,IOB,IO_L24P_CC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AL17,,,GND,,,,,,,,,,,,,
AL18,LAD<33>,IOB,IO_L15P_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AL19,LVDS2_GCFB_N,IOB,IO_L13N_GC_LC_2,INPUT,LVDS_25,2,,,,NONE,,LOCATED,,NO,NONE,
AL20,LAD<28>,IOB,IO_L19N_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AL21,LVDS2_GCLK_N,IOBS,IO_L5N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AL22,,,VCCO_7,,,7,,,,,2.50,,,,,
AL23,LVDS3_CTL_P,IOBM,IO_L31P_SM2_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AL24,LVDS4_CTL_P,IOB,IO_L25P_CC_SM7_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,YES,NONE,
AL25,LVDS4_CTL_N,IOB,IO_L25N_CC_SM7_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AL26,LVDS2_DAT_P<14>,IOBM,IO_L26P_SM6_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AL27,,,GND,,,,,,,,,,,,,
AL28,LVDS2_DAT_P<6>,IOBM,IO_L14P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AL29,LVDS2_DAT_N<6>,IOBS,IO_L14N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AL30,LVDS3_DAT_N<7>,IOBS,IO_L10N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AL31,LVDS2_DAT_N<9>,IOBS,IO_L31N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AL32,,,VCCO_11,,,11,,,,,2.50,,,,,
AL33,LVDS2_DAT_P<4>,IOBM,IO_L30P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AL34,LVDS2_DAT_N<4>,IOBS,IO_L30N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AM1,,IOBS,IO_L30N_12,UNUSED,,12,,,,,,,,,,
AM2,,IOBM,IO_L30P_12,UNUSED,,12,,,,,,,,,,
AM3,DDR1_FB1OUT,IOB,IO_L32P_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AM4,,,GND,,,,,,,,,,,,,
AM5,DDR2_ADDRESS<11>,IOB,IO_L14N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM6,DDR2_ADDRESS<3>,IOB,IO_L14P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM7,DDR2_CLKB,IOB,IO_L18N_8,OUTPUT,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,SPLIT,
AM8,DDR2_DQ<7>,IOB,IO_L22N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AM9,,,VCCO_8,,,8,,,,,1.80,,,,,
AM10,DDR2_DQ<20>,IOB,IO_L19N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AM11,DDR2_DQ<2>,IOB,IO_L27N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AM12,DDR2_DQ<3>,IOB,IO_L27P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AM13,DDR2_DM<1>,IOB,IO_L13P_8,OUTPUT,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AM14,,,GND,,,,,,,,,,,,,
AM15,LIRQ_N<3>,IOB,IO_L18P_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AM16,LAD<20>,IOB,IO_L16N_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AM17,LAD<12>,IOB,IO_L16P_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AM18,LAD<25>,IOB,IO_L15N_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AM19,,,VCCO_2,,,2,,,,,2.50,,,,,
AM20,LVDS2_GCFB_P,IOB,IO_L13P_GC_LC_2,INPUT,LVDS_25,2,,,,NONE,,LOCATED,,NO,NONE,
AM21,LVDS3_RC_IN_P,IOB,IO_L9P_CC_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AM22,LVDS3_RC_IN_N,IOB,IO_L9N_CC_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AM23,LVDS3_CTL_N,IOBS,IO_L31N_SM2_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AM24,,,GND,,,,,,,,,,,,,
AM25,LVDS2_DAT_N<15>,IOBS,IO_L32N_SM1_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AM26,LVDS3_DAT_P<5>,IOBM,IO_L30P_SM3_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM27,LVDS3_DAT_N<5>,IOBS,IO_L30N_SM3_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AM28,LVDS4_DAT_N<0>,IOB,IO_L24N_CC_LC_7,INPUT,LVDS_25,7,,,,NONE,,LOCATED,,NO,NONE,
AM29,,,VCCO_7,,,7,,,,,2.50,,,,,
AM30,LVDS3_DAT_P<7>,IOBM,IO_L10P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM31,LVDS2_DAT_P<9>,IOBM,IO_L31P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM32,LVDS2_DAT_P<3>,IOBM,IO_L27P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AM33,LVDS2_DAT_N<3>,IOBS,IO_L27N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AM34,,,GND,,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,,
AN2,DDR2_DQ<8>,IOB,IO_L8N_CC_LC_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN3,DDR2_DQ<11>,IOB,IO_L8P_CC_LC_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN4,DDR2_DQ<15>,IOB,IO_L3N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN5,DDR2_DQ<9>,IOB,IO_L16N_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN6,,,VCCO_8,,,8,,,,,1.80,,,,,
AN7,DDR2_CLK,IOB,IO_L18P_8,OUTPUT,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,SPLIT,
AN8,DDR2_DQ<1>,IOB,IO_L22P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN9,DDR2_RASB,IOB,IO_L32N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AN10,DDR2_DQ<21>,IOB,IO_L19P_8,BIDIR,SSTL18_II_DCI,8,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AN11,,,GND,,,,,,,,,,,,,
AN12,DDR2_FB0IN,IOB,IO_L31P_8,INPUT,SSTL18_II_DCI,8,,,,IFD,,LOCATED,,YES,SPLIT,
AN13,,IOBS,IO_L13N_8,UNUSED,,8,,,,,,,,,,
AN14,DDR2_DM<0>,IOB,IO_L5P_8,OUTPUT,SSTL18_II_DCI,8,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AN15,,LOWCAPIOB,IO_L8N_D0_LC_2,UNUSED,,2,,,,,,,,,,
AN16,,,VCCO_2,,,2,,,,,2.50,,,,,
AN17,,,VREFN_SM,,,,,,,,,,,,,
AN18,,,VREFP_SM,,,,,,,,,,,,,
AN19,,,AVSS_SM,,,,,,,,,,,,,
AN20,LVDS1_GCFB_P,IOB,IO_L11P_GC_LC_2,INPUT,LVDS_25,2,,,,NONE,,LOCATED,,NO,NONE,
AN21,,,GND,,,,,,,,,,,,,
